operator,inout_travelling,network_type,rating,calldrop_category,latitude,longitude,state_name
VI,Indoor,4G,1,Poor Voice Quality,-1,-1,NA 
VI,Indoor,4G,1,Poor Voice Quality,-1,-1,NA 
VI,Indoor,4G,3,Satisfactory,-1,-1,NA 
RJio,Indoor,4G,3,Satisfactory,21.86492,73.690145,Gujarat
RJio,Indoor,4G,4,Satisfactory,20.71844489,77.0099712,Maharashtra
VI,Indoor,4G,5,Satisfactory,23.22222864,81.55277228,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.22222864,81.55277228,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.22222864,81.55277228,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.22222864,81.55277228,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.22222864,81.55277228,Madhya Pradesh
BSNL,Indoor,4G,1,Poor Voice Quality,-1,-1,NA 
VI,Outdoor,4G,5,Satisfactory,26.2051731,78.1896835,Madhya Pradesh
VI,Outdoor,4G,5,Satisfactory,26.2051731,78.1896835,Madhya Pradesh
VI,Outdoor,Unknown,5,Satisfactory,26.2051731,78.1896835,Madhya Pradesh
VI,Outdoor,Unknown,5,Satisfactory,26.2051731,78.1896835,Madhya Pradesh
VI,Outdoor,4G,5,Satisfactory,26.2051731,78.1896835,Madhya Pradesh
VI,Outdoor,4G,5,Satisfactory,26.2051731,78.1896835,Madhya Pradesh
Airtel,Indoor,4G,2,Poor Voice Quality,24.52696105,92.42601787,Assam
VI,Indoor,4G,5,Satisfactory,22.72195657,75.83453434,Madhya Pradesh
RJio,Indoor,4G,4,Satisfactory,20.71844489,77.0099712,Maharashtra
RJio,Indoor,4G,5,Satisfactory,28.66591,77.26078167,Delhi
RJio,Indoor,4G,5,Satisfactory,28.66591,77.26078167,Delhi
VI,Indoor,4G,5,Satisfactory,26.2338051,78.1808666,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.36707957,78.08785909,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,26.36707957,78.08785909,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,26.36715865,78.08784578,Madhya Pradesh
VI,Indoor,4G,3,Poor Voice Quality,21.12377318,79.0658239,Maharashtra
VI,Outdoor,Unknown,3,Poor Voice Quality,20.92976998,78.97043213,Maharashtra
RJio,Indoor,4G,3,Satisfactory,-1,-1,NA 
VI,Indoor,Unknown,3,Poor Voice Quality,20.92976998,78.97043213,Maharashtra
RJio,Indoor,4G,1,Call Dropped,25.65945578,94.0886443,Nagaland
VI,Outdoor,4G,5,Satisfactory,-1,-1,NA 
VI,Indoor,4G,5,Satisfactory,-1,-1,NA 
VI,Outdoor,4G,5,Satisfactory,-1,-1,NA 
VI,Indoor,4G,5,Satisfactory,23.17215336,77.44125878,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.16383022,77.44591962,Madhya Pradesh
RJio,Outdoor,4G,4,Satisfactory,20.72188207,77.0141917,Maharashtra
RJio,Outdoor,4G,3,Satisfactory,20.72188207,77.0141917,Maharashtra
RJio,Indoor,4G,3,Satisfactory,-1,-1,NA 
RJio,Indoor,4G,1,Call Dropped,25.65945578,94.0886443,Nagaland
RJio,Indoor,4G,3,Satisfactory,-1,-1,NA 
RJio,Indoor,4G,3,Satisfactory,-1,-1,NA 
VI,Outdoor,Unknown,5,Satisfactory,26.19917387,78.18726324,Madhya Pradesh
VI,Outdoor,Unknown,5,Satisfactory,26.19917387,78.18726324,Madhya Pradesh
RJio,Indoor,4G,3,Poor Voice Quality,-1,-1,NA 
RJio,Indoor,4G,3,Satisfactory,-1,-1,NA 
RJio,Indoor,4G,1,Call Dropped,25.65945578,94.0886443,Nagaland
VI,Outdoor,4G,5,Satisfactory,-1,-1,NA 
RJio,Indoor,4G,1,Call Dropped,25.65727408,94.09611132,Nagaland
VI,Indoor,4G,5,Satisfactory,23.1637959,77.4461369,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,-1,-1,NA 
VI,Indoor,4G,5,Satisfactory,-1,-1,NA 
VI,Outdoor,4G,5,Satisfactory,19.01175247,81.86148881,Chhattisgarh
VI,Outdoor,4G,5,Satisfactory,19.01175247,81.86148881,Chhattisgarh
VI,Indoor,4G,5,Satisfactory,19.01178045,81.86160801,Chhattisgarh
VI,Indoor,4G,5,Satisfactory,19.08271209,82.03238444,Chhattisgarh
VI,Outdoor,4G,5,Satisfactory,19.08271209,82.03238444,Chhattisgarh
RJio,Indoor,4G,1,Call Dropped,25.6574483,94.0975195,Nagaland
RJio,Indoor,4G,1,Call Dropped,-1,-1,NA 
VI,Outdoor,4G,5,Satisfactory,-1,-1,NA 
VI,Travelling,4G,5,Satisfactory,-1,-1,NA 
VI,Travelling,4G,5,Satisfactory,-1,-1,NA 
VI,Outdoor,4G,5,Satisfactory,-1,-1,NA 
VI,Indoor,4G,5,Satisfactory,-1,-1,NA 
VI,Indoor,4G,5,Satisfactory,-1,-1,NA 
VI,Outdoor,4G,5,Satisfactory,-1,-1,NA 
VI,Indoor,4G,5,Satisfactory,-1,-1,NA 
VI,Travelling,2G,5,Satisfactory,-1,-1,NA 
VI,Travelling,4G,5,Satisfactory,-1,-1,NA 
VI,Travelling,4G,5,Satisfactory,-1,-1,NA 
VI,Travelling,4G,5,Satisfactory,-1,-1,NA 
VI,Indoor,4G,5,Satisfactory,-1,-1,NA 
VI,Travelling,4G,5,Satisfactory,-1,-1,NA 
VI,Indoor,4G,5,Satisfactory,-1,-1,NA 
Airtel,Indoor,4G,3,Poor Voice Quality,-1,-1,NA 
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA 
VI,Indoor,4G,5,Satisfactory,21.90312394,83.38348102,Chhattisgarh
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA 
Airtel,Outdoor,4G,1,Poor Voice Quality,26.05167167,83.17927667,Uttar Pradesh
Airtel,Travelling,4G,1,Poor Voice Quality,-1,-1,NA 
Airtel,Indoor,4G,1,Poor Voice Quality,-1,-1,NA 
VI,Travelling,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Outdoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Outdoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Indoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Outdoor,4G,5,Satisfactory,23.45839181,75.39851765,Madhya Pradesh
VI,Travelling,4G,5,Satisfactory,12.91477788,80.18472758,Tamil Nadu
RJio,Outdoor,4G,1,Call Dropped,19.64107647,74.1648057,Maharashtra
RJio,Indoor,4G,1,Call Dropped,19.64107647,74.1648057,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,19.64107647,74.1648057,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,19.64107647,74.1648057,Maharashtra
RJio,Indoor,Unknown,4,Satisfactory,20.72188207,77.0141917,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA 
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA 
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA 
RJio,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA 
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA 
RJio,Outdoor,4G,4,Satisfactory,19.64107647,74.1648057,Maharashtra
BSNL,Indoor,3G,4,Satisfactory,-1,-1,NA 
BSNL,Indoor,3G,4,Satisfactory,-1,-1,NA 
BSNL,Indoor,2G,4,Satisfactory,-1,-1,NA 
BSNL,Indoor,2G,4,Satisfactory,-1,-1,NA 
BSNL,Indoor,3G,4,Satisfactory,-1,-1,NA 
BSNL,Indoor,3G,4,Satisfactory,-1,-1,NA 
RJio,Indoor,4G,3,Satisfactory,-1,-1,NA 
VI,Indoor,4G,3,Satisfactory,-1,-1,NA 
VI,Indoor,4G,3,Satisfactory,29.85991833,79.65417667,Uttarakhand
RJio,Indoor,4G,1,Call Dropped,25.6619147,94.10138896,Nagaland
VI,Indoor,4G,1,Poor Voice Quality,-1,-1,NA 
RJio,Indoor,4G,1,Call Dropped,25.657869,94.0980609,Nagaland
RJio,Indoor,4G,1,Call Dropped,25.6619147,94.10138896,Nagaland
RJio,Indoor,4G,1,Call Dropped,25.6619147,94.10138896,Nagaland
Airtel,Indoor,4G,5,Satisfactory,10.30295528,76.223036,Kerala
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA 
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA 
RJio,Indoor,4G,1,Call Dropped,-1,-1,NA 
RJio,Indoor,4G,1,Call Dropped,-1,-1,NA 
RJio,Indoor,4G,1,Call Dropped,23.92305122,73.89954113,Rajasthan
VI,Indoor,4G,2,Poor Voice Quality,-1,-1,NA 
RJio,Indoor,4G,3,Satisfactory,-1,-1,NA 
RJio,Outdoor,4G,4,Satisfactory,22.7525274,86.2105359,Jharkhand
