Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Outdoor,4G,1,Call Dropped,-1,-1,NA
Airtel,Travelling,4G,1,Call Dropped,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,19.8716579,75.5423971,Maharashtra
BSNL,Indoor,3G,1,Call Dropped,16.43776401,80.99750809,Andhra Pradesh
Vodafone,Indoor,4G,1,Poor Voice Quality,13.0493293,80.2214056,Tamil Nadu
Airtel,Indoor,4G,3,Poor Voice Quality,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,4G,5,Satisfactory,13.0493293,80.2214056,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,1,Call Dropped,30.6947574,77.4284217,Himachal Pradesh
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,20.9119158,74.7606528,Maharashtra
RJio,Indoor,4G,1,Call Dropped,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,1,Call Dropped,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,13.21356694,75.49738765,Karnataka
Vodafone,Indoor,4G,4,Satisfactory,21.07144985,80.36642612,Chhattisgarh
BSNL,Indoor,3G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,3,Satisfactory,20.9148853,74.7619926,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.8716579,75.5423971,Maharashtra
Airtel,Travelling,4G,1,Call Dropped,17.23508167,80.03061,Telangana
Airtel,Indoor,4G,3,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,26.89494398,75.80850595,Rajasthan
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Idea,Outdoor,Unknown,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,28.5957518,77.2946679,Uttar Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,3,Poor Voice Quality,26.89494398,75.80850595,Rajasthan
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,26.89494398,75.80850595,Rajasthan
RJio,Indoor,4G,4,Satisfactory,18.51912176,73.85672691,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,18.51912176,73.85672691,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Travelling,4G,1,Poor Voice Quality,30.9274985,75.8632436,Punjab
Airtel,Outdoor,4G,4,Satisfactory,14.42770426,78.83008275,Andhra Pradesh
Airtel,Outdoor,4G,4,Satisfactory,14.42764579,78.83030039,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,27.22522619,94.10580998,Assam
Airtel,Indoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,1,Poor Voice Quality,28.6416158,77.2247485,NCT
Vodafone,Travelling,3G,2,Poor Voice Quality,28.67226503,77.21066223,NCT
Vodafone,Travelling,3G,2,Poor Voice Quality,28.67226503,77.21066223,NCT
Airtel,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,18.47415558,73.91001389,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,30.6912577,77.4287804,Himachal Pradesh
BSNL,Indoor,3G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,1,Call Dropped,28.6838372,77.2228002,NCT
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,4,Satisfactory,13.93675544,75.54810267,Karnataka
RJio,Indoor,4G,4,Satisfactory,26.89494398,75.80850595,Rajasthan
RJio,Indoor,4G,4,Satisfactory,26.89494398,75.80850595,Rajasthan
RJio,Outdoor,4G,4,Satisfactory,18.51912176,73.85672691,Maharashtra
BSNL,Indoor,4G,5,Satisfactory,23.9222419,87.5205237,West Bengal
Vodafone,Indoor,4G,5,Satisfactory,12.9612601,80.1465217,Tamil Nadu
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,1,Call Dropped,-1,-1,NA
RJio,Indoor,4G,2,Call Dropped,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,1,Call Dropped,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,27.2364936,94.1060327,Assam
Idea,Indoor,4G,5,Satisfactory,21.11281708,79.0690924,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,26.89494398,75.80850595,Rajasthan
Airtel,Indoor,Unknown,4,Satisfactory,22.8097665,86.1921802,Jharkhand
